unitid,institution name,year,institution name,IC2021.Open admission policy,IC2021.Institutional control or affiliation,IC2021.Religious affiliation,IC2021mission.Mission statement,IC2021mission.Mission statement URL (if mission statement not provided),HD2021.Institution size category,HD2021.State abbreviation,HD2021.FIPS state code,HD2021.Sector of institution,HD2021.Level of institution,HD2021.Control of institution,HD2021.Degree-granting status,HD2021.Historically Black College or University,HD2021.Tribal college,HD2021.Land Grant Institution,HD2021.Degree of urbanization (Urban-centric locale),HD2021.Institutional category,HD2021.Carnegie Classification 2021: Basic,,,,,,,,,,,,,,
215415,Pittsburgh Technical College,2021,Pittsburgh Technical College,Yes,Private not-for-profit (no religious affiliation),Not applicable,,https://ptcollege.edu/about-pittsburgh-technical-college/consumer-information/#mission,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, not primarily baccalaureate or above",Baccalaureate/Associate's Colleges: Associate's Dominant,,,,,,,,,,,,,,
215424,Pittsburgh Theological Seminary,2021,Pittsburgh Theological Seminary,Not applicable,Private not-for-profit (religious affiliation),Presbyterian Church (USA),,https://www.pts.edu/aboutus,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, graduate with no undergraduate degrees",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
215442,Point Park University,2021,Point Park University,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.pointpark.edu/about/mission/index,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Professional Universities,,,,,,,,,,,,,,
215479,Joseph F McCloskey School of Nursing,2021,Joseph F McCloskey School of Nursing,Not applicable,Private not-for-profit (no religious affiliation),Not applicable,,https://www.lvhn.org/joseph_f_mccloskey_school_of_nursing/about_the_school_of_nursing/our_mission_goals_and_end_of_program_student_learning_outcomes,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Town: Distant,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
215530,The Salon Professional Academy-Altoona,2021,The Salon Professional Academy-Altoona,Yes,Private for-profit,Not applicable,"The Salon Professional Academy's goal is to graduate highly trained professionals who are prepared for the 21st century salons and spas.  As a member of The Salon Professional Academy Franchise, we are dedicated to keeping our educational quality at the highest level in the cosmetology arts and sciences.  Systems and programs are continually updated to stay abreast with our changing industry and to accelerate our student's success.  In addition, we prepare our students to pass the state board licensing exam.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
215585,Reading Area Community College,2021,Reading Area Community College,Yes,Public,Not applicable,,https://www.racc.edu/about-racc,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
215594,Reading Hospital School of Health Sciences,2021,Reading Hospital School of Health Sciences,No,Private not-for-profit (no religious affiliation),Not applicable,,reading.towerhealth.org/app/files/public/16/reading-health-school-of-health-sciences-mission-and-philosophy.pdf,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,City: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
215619,Reconstructionist Rabbinical College,2021,Reconstructionist Rabbinical College,Not applicable,Private not-for-profit (religious affiliation),Jewish,"The Reconstructionist Rabbinical College cultivates and supports Jewish living, learning, and leadership for a changing world.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, graduate with no undergraduate degrees",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
215637,Walnut Hill College,2021,Walnut Hill College,No,Private for-profit,Not applicable,,www.walnuthillcollege.edu/about-whc/,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, not primarily baccalaureate or above","Special Focus Four-Year: Arts, Music & Design Schools",,,,,,,,,,,,,,
215655,Robert Morris University,2021,Robert Morris University,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.rmu.edu/about/strategic-plan,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Professional Universities,,,,,,,,,,,,,,
215682,Rosedale Technical College,2021,Rosedale Technical College,No,Private not-for-profit (no religious affiliation),Not applicable,The mission of Rosedale Technical College is to enable students to obtain employment in positions related to the trade industries using hands-on training programs aligned with industry needs and effective student services designed to promote student success.,,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, associate's and certificates",Special Focus Two-Year: Technical Professions,,,,,,,,,,,,,,
215691,Rosemont College,2021,Rosemont College,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.rosemont.edu/about/,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
215743,Saint Francis University,2021,Saint Francis University,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.francis.edu/Mission-and-Values/,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
215770,Saint Joseph's University,2021,Saint Joseph's University,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.sju.edu/history-mission/mission,"5,000 - 9,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
215798,Saint Vincent College,2021,Saint Vincent College,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.stvincent.edu/meet-saint-vincent/index.html,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
215813,Saint Vincent Seminary,2021,Saint Vincent Seminary,Not applicable,Private not-for-profit (religious affiliation),Roman Catholic,,www.saintvincentseminary.edu/about-us/mission/,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, graduate with no undergraduate degrees",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
215886,Schuylkill Technology Center,2021,Schuylkill Technology Center,Yes,Public,Not applicable,"The mission of the Schuylkill Technology Center is to enable the student to acquire the attitudes, knowledge, skills, and values necessary to become a life-long learner and a productive citizen of a global economy by developing an educational pathway for excellence driven by a partnership with education, business, industry, government, family, and the community.",,"Under 1,000",Pennsylvania,Pennsylvania,"Public, less-than 2-year",Less than 2 years (below associate),Public,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Rural: Fringe,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
215929,University of Scranton,2021,University of Scranton,No,Private not-for-profit (religious affiliation),Roman Catholic,The University of Scranton is a Catholic and Jesuit university animated by the spiritual vision and the tradition of excellence characteristic of the Society of Jesus and those who share its way of proceeding.  The University is a community dedicated to the freedom of inquiry and personal development fundamental to the growth in wisdom and integrity of all who share its life.,,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
215947,Seton Hill University,2021,Seton Hill University,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.setonhill.edu/about/mission-statement/,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
215974,UPMC Shadyside School of Nursing,2021,UPMC Shadyside School of Nursing,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.upmc.com/healthcare-professionals/education/schools-of-nursing/campuses/shadyside/mission-vision-values,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
215983,Sharon Regional School of Nursing,2021,Sharon Regional School of Nursing,Yes,Private for-profit,Not applicable,To facilitate student learning through theory and clinical experiences. To prepare students to become registered nurses and promote the profession of nursing.,,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
215992,Laurel Technical Institute,2021,Laurel Technical Institute,No,Private for-profit,Not applicable,,https://www.laurel.edu/about-us,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
216010,Shippensburg University of Pennsylvania,2021,Shippensburg University of Pennsylvania,No,Public,Not applicable,,www.ship.edu/about/mission_of_shippensburg_university/,"5,000 - 9,999",Pennsylvania,Pennsylvania,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
216038,Slippery Rock University of Pennsylvania,2021,Slippery Rock University of Pennsylvania,No,Public,Not applicable,,https://www.sru.edu/about/mission-and-vision,"5,000 - 9,999",Pennsylvania,Pennsylvania,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
216047,Saint Charles Borromeo Seminary-Overbrook,2021,Saint Charles Borromeo Seminary-Overbrook,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.scs.edu/about/mission-and-vision/,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
216074,South Hills Beauty Academy,2021,South Hills Beauty Academy,Yes,Private for-profit,Not applicable,,www.shnhbeauty.com,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216083,South Hills School of Business & Technology,2021,South Hills School of Business & Technology,No,Private for-profit,Not applicable,,www.southhills.edu/about/,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: High Transfer-High Traditional,,,,,,,,,,,,,,
216162,St Lukes Hospital School of Nursing,2021,St Lukes Hospital School of Nursing,Not applicable,Private not-for-profit (no religious affiliation),Not applicable,,https://www.slhn.org/son/academics,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216223,The Beauty Institute,2021,The Beauty Institute,Yes,Private for-profit,Not applicable,"The school aims to provide a positive and rewarding learning environment, designed to empower our students to acquire solid technical skills, business acumen, and customer service attitude necessary for their professional success. Our school is committed to enable our students to prepare for professional success in their chosen field, not just passing licensing exams.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216278,Susquehanna University,2021,Susquehanna University,No,Private not-for-profit (religious affiliation),Evangelical Lutheran Church,,www.susqu.edu/about-su,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
216287,Swarthmore College,2021,Swarthmore College,No,Private not-for-profit (no religious affiliation),Not applicable,,www.swarthmore.edu/cc_introduction.xml,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
216296,Thaddeus Stevens College of Technology,2021,Thaddeus Stevens College of Technology,No,Public,Not applicable,,https://stevenscollege.edu/about/mission-core-values/,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
216311,Talmudical Yeshiva of Philadelphia,2021,Talmudical Yeshiva of Philadelphia,No,Private not-for-profit (religious affiliation),Jewish,To lay the scholarly foundation for the transmission of the wisdom of the Jewish people through the rigorously analytical analysis of traditional Talmudic sources.,,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
216339,Temple University,2021,Temple University,No,Public,Not applicable,"Opportunity. Engagement. Discovery.     Temple University educates a vibrant student body and creates new knowledge through innovative teaching, research and other creative endeavors. Our urban setting provides transformative opportunities for engaged scholarship, experiential learning, and discovery of self, others and the world. We open our doors to a diverse community of learners and scholars who strive to make the possible real.     We are committed to the ideals upon which Temple was founded:    - providing access to an excellent, affordable higher education that prepares students for careers, further learning and active citizenship.    - creating a collaborative community of outstanding faculty and staff who foster inclusion and encourage the aspirations of Temple students.    - promoting service and engagement throughout Philadelphia, the Commonwealth of Pennsylvania, the nation and the world.",,"20,000 and above",Pennsylvania,Pennsylvania,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
216348,Theological Seminary of the Reformed Episcopal Church,2021,Theological Seminary of the Reformed Episcopal Church,Not applicable,Private not-for-profit (religious affiliation),"Episcopal Church, Reformed","MISSION The charter of The Theological Seminary of the Reformed Episcopal Church declares that the Seminary was formed “for the purpose of educating and training students for the ministry of the Gospel of our Lord Jesus Christ especially in connection with the Reformed Episcopal Church and the Anglican Church in North America in accordance with the Constitution, Canons, rules, regulations, principles, Doctrine, and worship of said Church.”     VISION Our vision at Reformed Episcopal Seminary is to train Christ’s people to serve the flock of the Lord Jesus Christ through biblical, Anglican Worship, Example, and Discipleship as defined in the official standards of the Reformed Episcopal Church.     VALUES  Students are immersed in Scripture, the historical and ancient traditions of the church, worship, and doctrine. Emphasis is placed on classical Anglicanism lived out in the world through worship, evangelism, and discipleship.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, graduate with no undergraduate degrees",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
216357,Thiel College,2021,Thiel College,No,Private not-for-profit (religious affiliation),Evangelical Lutheran Church,,www.thiel.edu/about,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
216366,Thomas Jefferson University,2021,Thomas Jefferson University,No,Private not-for-profit (no religious affiliation),Not applicable,,www.jefferson.edu/about.html,"5,000 - 9,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: High Research Activity,,,,,,,,,,,,,,
216436,Triangle Tech Inc-Pittsburgh,2021,Triangle Tech Inc-Pittsburgh,Yes,Private for-profit,Not applicable,The Triangle Tech Group is committed to offering students a comprehensive training program which is designed to help the student develop his or her abilities in order to receive greater employment opportunities and be of greater service to society.,,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
216445,Triangle Tech Inc-Greensburg,2021,Triangle Tech Inc-Greensburg,Yes,Private for-profit,Not applicable,The Triangle Tech Group is committed to offering students a comprehensive training program which is designed to help the student develop his or her abilities in order to receive greater employment opportunities and be of greater service to society.,,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
216454,Triangle Tech Inc-Dubois,2021,Triangle Tech Inc-Dubois,Yes,Private for-profit,Not applicable,The Triangle Tech Group is committed to offering students a comprehensive training program which is designed to help the student develop his or her abilities in order to receive greater employment opportunities and be of greater service to society.,,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
216463,Trinity Episcopal School for Ministry,2021,Trinity Episcopal School for Ministry,Not applicable,Private not-for-profit (religious affiliation),Protestant Episcopal,,www.tsm.edu/vision_purpose_and_values/,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, graduate with no undergraduate degrees",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
216524,Ursinus College,2021,Ursinus College,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.ursinus.edu/about/uniquely-ursinus/mission-statement/,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
216542,University of Valley Forge,2021,University of Valley Forge,No,Private not-for-profit (religious affiliation),Assemblies of God Church,,https://www.valleyforge.edu/faith-service/mission-statement/,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
216551,Valley Forge Military College,2021,Valley Forge Military College,Yes,Private not-for-profit (no religious affiliation),Not applicable,"The mission of Valley Forge Military College is to educate students within an academic and military environment to transfer to academically competitive four-year colleges, universities, or service academies. The College builds leaders of character -- for the future, for the community, for the country, for the world.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, associate's and certificates",Associate's Colleges: High Transfer-High Traditional,,,,,,,,,,,,,,
216579,Venus Beauty Academy,2021,Venus Beauty Academy,Yes,Private for-profit,Not applicable,"As a Private School, the mission of Venus Beauty Academy is to prepare and provide our students with an excellent education with experienced instruction. We provide our students with the technical and professional edge needed to succeed and become a skilled licensed professional.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216597,Villanova University,2021,Villanova University,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www1.villanova.edu/villanova/president/about_university/mission.html,"10,000 - 19,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: High Research Activity,,,,,,,,,,,,,,
216630,Washington Health System School of Nursing,2021,Washington Health System School of Nursing,Not applicable,Private not-for-profit (no religious affiliation),Not applicable,"The Washington Hospital School of Nursing offers a diploma program in professional nursing. The School   assures the quality of its program by maintaining qualified faculty, providing support services which meet the needs of the student population, providing resources and facilities which are adequate for operation of the school, and offering a curriculum which enables its graduates to develop the competencies necessary for the practice of professional nursing.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216667,Washington & Jefferson College,2021,Washington & Jefferson College,No,Private not-for-profit (no religious affiliation),Not applicable,,"https://www.washjeff.edu/about-wj/our-story/#:~:text=the%20mission%20of%20washington%20%26%20jefferson,world%20in%20which%20they%20live.","1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
216694,Waynesburg University,2021,Waynesburg University,No,Private not-for-profit (religious affiliation),Presbyterian Church (USA),,https://www.waynesburg.edu/our-story/mission-and-vision,"1,000 - 4,999",Pennsylvania,Pennsylvania,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
216746,Welder Training and Testing Institute,2021,Welder Training and Testing Institute,Yes,Private for-profit,Not applicable,"Welder Training and Testing Institute is a private corporation and co-educational institution of higher learning,that trains men and women for challenging careers in welding.  WTTI recognizes the fact that every student is an individual with different learning ability and potential.  Every effort is made to individualize the training and maximize the skill potential of each student.  Every member of the WTTI staff is committed to ensuring the success of each student.  The courses at the school are designed to prepare the student for employment opportunities within the career field.  All the courses given at the school are selected and scheduled to contribute to that objective.  Surveys of the industries which employ our graduates are conducted to determine what changes or modifications should be made in our training programs.  Policies of the school are determined to a large extent by the requirements of the employers who hire our graduates.  These policies are administered within the framework of regulations set forth by various governmental agencies which regulate the school.",,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,City: Midsize,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216764,West Chester University of Pennsylvania,2021,West Chester University of Pennsylvania,No,Public,Not applicable,,https://www.wcupa.edu/president/missionstatement.aspx,"10,000 - 19,999",Pennsylvania,Pennsylvania,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: High Research Activity,,,,,,,,,,,,,,
216773,Western Pennsylvania Hospital School of Nursing,2021,Western Pennsylvania Hospital School of Nursing,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.ahn.org/health-care-professionals/education/nursing/west-penn-hospital/about-school.html,"Under 1,000",Pennsylvania,Pennsylvania,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
216782,Pittsburgh Career Institute,2021,Pittsburgh Career Institute,Yes,Private for-profit,Not applicable,,pci.edu/about-pci/,"Under 1,000",Pennsylvania,Pennsylvania,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, associate's and certificates",Special Focus Two-Year: Health Professions,,,,,,,,,,,,,,
